2026-06-08 09:59:39 | INFO     | STAGE:2 | __init__ | === STAGE 2 START === pipeline_id=test
2026-06-08 09:59:39 | DEBUG    | STAGE:2 | debug | Loaded 39 reaction rules
2026-06-08 09:59:39 | INFO     | STAGE:2 | info | RetrosynthesisEngine initialized with 39 reaction rules
2026-06-08 09:59:39 | DEBUG    | STAGE:2 | debug | Loaded enzyme database with 13 candidates
2026-06-08 09:59:39 | INFO     | STAGE:2 | info | EnzymeSelector initialized
2026-06-08 09:59:39 | INFO     | STAGE:2 | info | CodonOptimizer initialized
2026-06-08 09:59:39 | INFO     | STAGE:2 | info | PromoterRBSDesigner initialized
2026-06-08 09:59:39 | INFO     | STAGE:2 | info | PathwayAIEngine initialized
2026-06-08 09:59:39 | INFO     | STAGE:2 | info | === STAGE 2 START === pipeline_id=6a0ec230-fa62-4093-af2a-3090bae21bac
2026-06-08 09:59:39 | DEBUG    | STAGE:2 | debug | Input JSON received: pipeline_id=6a0ec230-fa62-4093-af2a-3090bae21bac
2026-06-08 09:59:39 | INFO     | STAGE:2 | info | Schema validation: PASSED for stage_1_input_schema
2026-06-08 09:59:39 | INFO     | STAGE:2 | info | Running pathway prediction for E. coli → lycopene
2026-06-08 09:59:39 | INFO     | STAGE:2 | info | Running MCTS for target=lycopene with 100 iterations
2026-06-08 09:59:39 | DEBUG    | STAGE:2 | debug | MCTS found 1 pathway candidates
2026-06-08 09:59:39 | INFO     | STAGE:2 | info | Retrosynthesis found 1 raw pathway candidates
2026-06-08 09:59:39 | DEBUG    | STAGE:2 | debug | Thermodynamic score: 0.973 (ΔG=-148.3 kJ/mol)
2026-06-08 09:59:39 | INFO     | STAGE:2 | info | Ranked 1 pathways for E. coli
2026-06-08 09:59:39 | DEBUG    | STAGE:2 | debug | Found 3 candidates for DXS
2026-06-08 09:59:39 | DEBUG    | STAGE:2 | debug | Filtered 3 → 3 candidates for E. coli
2026-06-08 09:59:39 | DEBUG    | STAGE:2 | debug | ESM-2 score for dxs_Ec: 0.856
2026-06-08 09:59:39 | DEBUG    | STAGE:2 | debug | ESM-2 score for dxs_Bs: 0.760
2026-06-08 09:59:39 | DEBUG    | STAGE:2 | debug | ESM-2 score for dxs_Pp: 0.861
2026-06-08 09:59:39 | DEBUG    | STAGE:2 | debug | Optimized sequence length: 2136 bp for E. coli
2026-06-08 09:59:39 | DEBUG    | STAGE:2 | debug | CAI for E. coli: 1.000
2026-06-08 09:59:39 | WARNING  | STAGE:2 | warning | Found restriction sites: {'HindIII': [1603], 'NcoI': [1042, 1792, 2086]}
2026-06-08 09:59:39 | WARNING  | STAGE:2 | warning | Restriction sites found in dxs: ['HindIII', 'NcoI']
2026-06-08 09:59:39 | DEBUG    | STAGE:2 | debug | Generated 4 simulated candidates for DXR
2026-06-08 09:59:39 | DEBUG    | STAGE:2 | debug | Filtered 4 → 4 candidates for E. coli
2026-06-08 09:59:39 | DEBUG    | STAGE:2 | debug | ESM-2 score for dxr_Ar: 0.754
2026-06-08 09:59:39 | DEBUG    | STAGE:2 | debug | ESM-2 score for dxr_Pa: 0.692
2026-06-08 09:59:39 | DEBUG    | STAGE:2 | debug | ESM-2 score for dxr_P.: 0.850
2026-06-08 09:59:39 | DEBUG    | STAGE:2 | debug | ESM-2 score for dxr_P.: 0.723
2026-06-08 09:59:39 | DEBUG    | STAGE:2 | debug | Optimized sequence length: 2208 bp for E. coli
2026-06-08 09:59:39 | DEBUG    | STAGE:2 | debug | CAI for E. coli: 1.000
2026-06-08 09:59:39 | DEBUG    | STAGE:2 | debug | No restriction sites found
2026-06-08 09:59:39 | DEBUG    | STAGE:2 | debug | Generated 4 simulated candidates for IspD
2026-06-08 09:59:39 | DEBUG    | STAGE:2 | debug | Filtered 4 → 4 candidates for E. coli
2026-06-08 09:59:39 | DEBUG    | STAGE:2 | debug | ESM-2 score for ispd_C.: 0.799
